"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"4",3,67,2,335,2,1,14,0,0,1,3,1,7,9,47,5,14,81,1,5,0,1,205,"0"
"7",6,449,1,330,1,124,8,0,0,4,4,5,9,7,22,2,14,25,18,7,0,1,471,"0"
"8",7,295,0,324,2,22,8,0,0,1,4,5,9,7,370,5,14,19,18,5,0,1,486,"0"
"10",9,445,1,281,2,97,8,0,0,4,1,5,9,7,379,5,8,225,10,2,1,1,270,"0"
"12",11,192,2,291,1,100,14,1,0,4,1,5,6,7,311,2,14,19,7,8,0,1,176,"0"
"13",12,140,2,295,1,100,14,2,4,4,4,5,7,7,622,5,14,13,16,5,0,1,233,"0"
"14",13,445,1,281,2,97,8,0,0,4,1,5,9,6,29,2,14,177,12,2,0,1,270,"0"
"15",14,617,1,287,1,38,8,0,0,4,1,5,15,7,211,3,14,169,6,6,0,1,519,"0"
"16",15,338,0,289,1,38,8,0,0,4,1,5,4,6,662,1,14,25,5,7,0,1,535,"0"
"17",16,139,2,292,2,101,14,0,0,4,1,5,14,7,623,1,14,208,6,5,0,1,85,"0"
"19",18,557,1,463,2,58,2,1,0,4,1,5,13,7,475,5,14,108,8,5,0,1,19,"0"
"21",20,250,0,474,1,38,8,0,0,4,1,5,9,7,775,5,14,55,18,7,0,1,590,"0"
"22",21,30,2,477,1,50,14,0,0,4,1,5,9,8,637,5,14,53,15,7,0,1,262,"0"
"23",22,8,2,473,2,65,14,0,0,4,3,5,7,7,416,3,13,207,6,6,0,1,186,"0"
"24",23,30,2,477,1,50,14,0,0,4,1,5,9,7,86,5,0,139,15,7,0,1,262,"0"
"25",24,606,1,225,1,24,14,0,0,4,4,5,7,7,106,5,3,27,18,6,0,1,224,"0"
"27",26,507,1,487,1,90,16,0,0,4,1,5,15,7,446,2,8,112,8,6,0,1,43,"0"
"28",27,250,0,474,1,38,8,0,0,4,1,5,9,7,42,2,14,105,18,7,0,1,590,"0"
"31",30,226,3,478,1,12,16,0,0,1,1,0,14,5,388,1,14,235,0,5,0,1,24,"0"
"32",31,628,1,216,1,93,8,2,4,4,4,5,4,7,853,2,14,25,8,7,0,1,522,"0"
"34",33,34,2,417,2,134,14,0,0,4,1,5,13,7,568,2,14,19,0,8,0,1,155,"0"
"37",36,275,0,328,1,76,8,0,0,4,4,5,9,7,520,1,14,207,18,7,0,1,578,"0"
"40",39,260,0,219,3,4,8,0,0,4,1,5,9,6,510,1,14,13,8,5,0,1,415,"0"
"42",41,323,0,214,2,103,8,2,4,1,1,5,9,7,294,3,12,35,15,5,0,1,566,"0"
"45",44,324,0,331,1,93,8,1,0,4,4,5,9,7,338,1,14,163,15,7,0,1,463,"0"
"48",47,275,0,328,1,76,8,0,0,4,4,5,9,7,419,2,14,207,18,7,0,1,578,"0"
"50",49,597,1,344,0,24,14,2,4,4,1,5,7,7,138,2,14,19,11,5,0,1,108,"0"
"53",52,325,0,332,2,9,8,1,4,4,3,5,9,6,883,5,14,55,15,7,0,1,503,"0"
"55",54,522,1,212,1,133,6,0,0,4,1,5,9,7,20,1,14,207,15,7,0,1,6,"0"
"56",55,422,1,320,1,84,14,0,0,5,0,5,3,7,683,1,5,95,18,8,0,1,281,"0"
"57",56,83,2,356,2,23,14,0,0,4,4,5,7,7,763,1,14,202,15,8,0,2,304,"0"
"58",57,82,2,423,2,25,14,0,0,4,4,5,15,7,492,2,14,81,8,6,0,1,250,"0"
"60",59,596,1,345,2,79,14,2,4,4,1,5,9,7,320,2,18,35,8,5,0,1,84,"0"
"61",60,324,0,331,1,93,8,1,0,4,4,5,9,7,241,2,14,207,15,7,0,1,463,"0"
"62",61,3,2,333,1,84,14,0,0,4,4,5,14,7,259,1,4,99,5,10,0,1,301,"0"
"65",64,34,2,417,2,134,14,0,0,4,1,5,13,7,530,2,14,19,8,8,0,1,155,"0"
"66",65,72,2,410,2,37,14,0,0,4,4,5,15,6,656,1,14,207,5,5,0,1,218,"0"
"68",67,169,2,227,2,2,14,0,0,1,1,5,9,7,53,1,0,83,18,5,0,1,241,"0"
"69",68,601,1,169,0,78,8,2,4,1,1,5,15,7,299,1,14,19,4,9,0,1,356,"0"
"71",70,71,2,58,2,47,14,0,0,4,1,5,13,7,233,3,18,35,15,5,0,1,134,"0"
"73",72,504,1,603,2,134,14,1,0,1,1,5,14,7,698,2,17,19,8,7,0,1,132,"0"
"74",73,532,1,591,0,77,14,0,0,4,1,5,7,7,124,0,14,209,8,8,0,1,81,"0"
"75",74,234,0,584,1,38,8,0,0,4,4,5,13,7,255,5,14,17,0,6,0,1,547,"0"
"78",77,107,2,548,1,34,14,0,0,4,4,5,4,6,661,1,14,96,5,5,0,1,247,"0"
"79",78,389,1,585,1,76,8,0,0,5,4,5,15,7,28,2,0,192,5,7,0,1,586,"0"
"81",80,155,2,599,2,89,14,0,0,4,1,5,7,6,354,5,14,19,0,2,0,1,340,"0"
"84",83,145,2,550,2,91,14,0,0,1,4,5,4,7,191,1,14,207,17,6,0,1,169,"0"
"85",84,267,0,501,2,74,8,0,0,4,1,5,7,6,289,5,14,43,1,1,0,1,443,"0"
"87",86,25,2,553,1,121,14,0,0,1,1,5,15,7,625,1,14,185,0,8,0,1,625,"0"
"89",88,438,1,555,0,109,14,0,0,4,4,5,4,7,677,1,14,19,0,8,0,1,347,"0"
"93",92,127,2,362,1,100,14,0,0,4,1,5,14,5,220,1,14,19,17,2,0,1,193,"0"
"94",93,128,2,366,1,126,14,0,0,4,4,5,15,7,687,1,14,5,8,6,0,1,221,"0"
"96",95,91,2,376,2,122,14,0,0,4,1,5,7,7,38,5,20,35,8,2,0,1,177,"0"
"97",96,437,1,352,1,121,14,0,0,4,1,5,9,7,459,1,14,5,8,8,0,1,191,"0"
"99",98,51,2,351,1,50,14,0,0,4,4,5,4,6,565,1,14,19,5,7,0,1,206,"0"
"100",99,436,1,346,1,50,14,2,4,4,4,5,15,7,756,2,14,231,15,7,0,1,271,"0"
"105",104,592,1,411,1,120,10,0,0,4,1,5,9,7,248,2,14,25,15,8,0,1,66,"0"
"106",105,310,0,375,2,131,8,0,0,4,3,5,15,6,169,5,14,32,5,5,0,1,614,"0"
"107",106,592,1,411,1,120,10,0,0,4,1,5,9,7,351,2,14,19,15,8,0,1,66,"0"
"109",108,491,1,370,0,41,14,2,4,1,3,5,15,7,861,1,14,81,16,5,0,1,217,"0"
"110",109,262,0,358,1,38,8,2,4,4,1,5,13,7,204,1,14,214,8,6,0,1,534,"0"
"113",112,93,2,382,1,30,14,0,0,4,4,5,1,7,309,1,14,19,7,7,0,1,168,"0"
"114",113,262,0,358,1,38,8,2,4,4,1,5,13,6,165,2,14,19,2,6,0,1,534,"0"
"116",115,298,0,350,2,117,8,0,0,4,1,5,14,3,152,5,14,63,8,6,0,1,616,"0"
"118",117,68,2,359,2,2,14,2,4,1,0,5,4,7,795,2,14,220,16,6,0,1,243,"0"
"121",120,92,2,381,1,100,14,0,0,4,1,5,13,7,753,5,14,89,8,7,0,1,144,"0"
"123",122,437,1,352,1,121,14,0,0,4,1,5,9,7,777,1,14,196,15,8,0,1,191,"0"
"125",124,437,1,352,1,121,14,0,0,4,1,5,9,7,557,2,14,207,15,8,0,1,191,"0"
"128",127,174,2,374,0,109,14,0,0,4,4,5,4,7,868,1,14,51,8,9,0,1,328,"0"
"129",128,93,2,382,1,30,14,0,0,4,4,5,1,7,536,2,20,35,8,5,0,1,168,"0"
"130",129,117,2,364,1,127,14,0,0,4,2,5,13,7,573,5,17,60,8,8,0,1,284,"0"
"131",130,436,1,346,1,50,14,2,4,4,4,5,15,7,585,1,14,207,0,5,0,1,271,"0"
"132",131,491,1,370,0,41,14,2,4,1,3,5,15,7,894,5,14,25,8,8,0,1,217,"0"
"137",136,562,1,319,2,52,10,0,0,4,1,5,15,7,468,1,14,174,8,5,0,1,52,"0"
"138",137,562,1,319,2,52,10,0,0,4,1,5,15,6,364,2,14,25,0,5,0,1,52,"0"
"140",139,390,1,609,2,103,8,2,4,4,4,5,15,7,296,1,22,152,8,6,0,1,571,"0"
"141",140,322,0,587,1,38,8,0,0,4,1,5,15,6,143,1,14,13,5,7,0,1,526,"0"
"142",141,533,1,610,1,18,4,0,4,4,3,5,15,6,862,1,14,19,0,8,0,1,49,"0"
"143",142,390,1,609,2,103,8,2,4,4,4,5,15,7,382,2,13,92,5,6,0,1,571,"0"
"144",143,389,1,585,1,76,8,0,0,5,4,5,15,7,764,2,0,145,18,7,0,1,586,"0"
"146",145,76,2,602,2,23,14,0,0,4,4,5,9,7,236,2,14,116,15,8,0,1,308,"0"
"147",146,598,1,394,1,38,14,0,0,4,4,5,4,7,411,1,14,19,5,7,0,1,389,"0"
"150",149,526,1,337,1,18,5,0,0,4,4,5,13,7,453,2,20,212,8,5,0,1,8,"0"
"153",152,175,2,398,2,81,14,0,0,4,1,5,13,7,738,2,20,33,8,5,0,1,287,"0"
"154",153,263,0,393,1,93,8,0,0,4,4,5,7,7,117,2,14,19,15,6,0,1,520,"0"
"156",155,105,2,389,1,121,14,0,0,5,4,5,15,6,535,1,14,207,8,8,0,1,154,"0"
"157",156,496,1,203,1,38,8,0,0,4,4,5,9,7,179,5,0,160,18,9,0,1,409,"0"
"158",157,527,1,369,1,18,2,0,0,4,4,5,13,7,218,5,20,212,18,5,0,1,13,"0"
"159",158,105,2,389,1,121,14,0,0,5,4,5,15,7,561,1,14,207,16,5,0,1,154,"0"
"160",159,320,0,391,0,42,8,0,0,4,4,5,9,7,341,5,14,51,6,5,0,1,525,"0"
"162",161,598,1,394,1,38,14,0,0,4,4,5,4,7,717,1,14,161,8,7,0,1,389,"0"
"164",163,284,0,195,2,66,8,0,0,4,1,5,13,7,829,5,21,207,15,5,0,1,403,"0"
"165",164,414,1,196,2,130,14,0,0,4,3,5,6,7,270,5,18,35,5,5,0,1,357,"0"
"167",166,583,1,552,1,55,10,0,4,1,3,5,15,6,605,0,14,19,16,6,0,1,57,"0"
"170",169,9,2,512,2,25,14,0,0,4,4,5,15,2,579,1,14,192,8,6,0,1,249,"0"
"172",171,583,1,552,1,55,10,0,4,1,3,5,15,6,499,0,14,190,8,6,0,1,57,"0"
"173",172,279,0,516,1,38,8,1,0,4,2,5,7,7,616,3,21,207,8,5,0,1,514,"0"
"175",174,577,1,490,1,90,16,0,0,4,3,5,15,6,609,2,14,118,16,5,0,1,42,"0"
"176",175,177,2,485,2,89,14,0,0,4,4,5,13,7,537,3,14,62,15,6,0,1,355,"0"
"177",176,264,0,401,2,123,8,0,0,4,1,5,14,6,324,1,14,153,8,6,0,1,426,"0"
"178",177,177,2,485,2,89,14,0,0,4,4,5,13,7,828,5,15,93,15,6,0,1,355,"0"
"179",178,27,2,406,1,127,14,0,0,4,4,5,9,2,116,2,0,160,8,9,0,0,278,"0"
"181",180,35,2,403,2,26,14,1,0,4,3,5,15,7,1,2,14,19,8,5,0,1,158,"0"
"182",181,471,1,407,1,50,14,0,0,4,4,5,15,6,302,1,14,239,5,8,0,1,294,"0"
"184",183,36,2,408,2,114,14,1,0,4,1,5,14,7,10,5,14,119,6,5,0,1,263,"0"
"185",184,386,1,426,2,131,8,0,0,4,3,5,7,7,159,2,0,179,5,7,0,1,615,"0"
"189",188,471,1,407,1,50,14,0,0,4,4,5,15,6,76,2,14,19,8,8,0,1,294,"0"
"190",189,386,1,426,2,131,8,0,0,4,3,5,7,6,393,5,20,35,6,7,0,1,615,"0"
"192",191,176,2,486,2,113,14,0,0,4,1,5,9,7,663,3,20,33,15,5,0,1,306,"0"
"193",192,464,1,404,1,38,14,0,0,1,0,5,4,7,820,2,14,211,8,8,0,1,401,"0"
"195",194,9,2,512,2,25,14,0,0,4,4,5,15,7,613,1,14,196,8,6,0,1,249,"0"
"196",195,95,2,509,1,121,14,0,0,4,4,5,9,7,727,2,14,19,16,7,0,1,200,"0"
"197",196,296,0,559,1,104,8,0,0,4,4,5,9,11,580,5,14,143,15,6,0,1,456,"0"
"202",201,331,0,205,2,22,8,2,4,4,4,5,7,7,198,2,14,19,18,5,0,1,487,"0"
"215",214,299,0,508,1,104,8,0,0,4,4,5,9,7,395,5,14,197,16,7,0,1,452,"0"
